red_id,sede_id,nombre,url
301,ETRIN,twitter,https://www.twitter.com/arg_mrec_tt
302,ETUNE,facebook,https://www.facebook.com/ArgEnTunez/
303,ETUNE,twitter,https://www.twitter.com/EmbajadaTunez
304,ETUNE,instagram,https://www.instagram.com/embargentinatn
305,ETUNE,youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
306,ETURQ,facebook,https://www.facebook.com/Argentinaenturquia/
307,ETURQ,instagram,https://www.instagram.com/embargenturquia
308,ETURQ,twitter,https://www.twitter.com/ARGenTurquia
309,EUCRA,facebook,https://www.facebook.com/ArgentinaEnUcrania
310,EUCRA,instagram,https://www.instagram.com/argenucrania/
311,EUNES,twitter,https://www.twitter.com/ArgentinaUNESCO
312,EUNES,facebook,https://www.facebook.com/delegation.argentine/
313,EUNGR,facebook,https://www.facebook.com/ArgentinaEnHungria
314,EUNGR,twitter,https://www.twitter.com/EmbArgHungria
315,EUNGR,instagram,https://www.instagram.com/argentinaenhungria/
316,EURUG,twitter,https://www.twitter.com/ArgentinaEnUru
317,EURUG,facebook,https://www.facebook.com/ArgentinaEnUru/
318,EURUG,instagram,https://www.instagram.com/argentinaenuru/
319,EVENE,twitter,https://www.twitter.com/argenvenezuela?lang=es
320,EVENE,facebook,https://www.facebook.com/EmbajadaArgentinaEnVenezuela
321,EVENE,instagram,https://www.instagram.com/argenvenezuela/
322,EVIET,facebook,https://www.facebook.com/ArgentinaEnVietnam/
323,EVIET,instagram,https://www.instagram.com/argenvietnam/
324,REPAL,facebook,https://www.facebook.com/ArgEnPalestina
