pais,sede_id,red_social,url
Nicaragua,ENICA,instagram,https://www.instagram.com/argennicaragua
Nigeria,ENIGE,facebook,https://www.facebook.com/ArgentinaEnNigeria/
Nigeria,ENIGE,instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
Norway,ENORU,facebook,https://www.facebook.com/ArgentinaEnNoruega/
Norway,ENORU,instagram,https://www.instagram.com/arginnorway/
Norway,ENORU,otra,https://www.linkedin.com/company/embajada-de-la-rep%C3%BAblica-argentina-ante-el-reino-de-noruega-argentine-embassy-to-norway
Norway,ENORU,twitter,https://www.twitter.com/arginnorway?lang=en
Pakistan,EPAKI,instagram,https://www.instagram.com/argentinaenpakistan/
Panama,EPNMA,facebook,https://www.facebook.com/ArgentinaEnPanama
Panama,EPNMA,instagram,https://www.instagram.com/argentinaenpanama
Paraguay,CCEST,facebook,https://www.facebook.com/ArgEnCiudaddeleste/
Paraguay,CCEST,instagram,https://www.instagram.com/argenciudaddeleste
Paraguay,EPARA,facebook,https://www.facebook.com/embajada.paraguay
Paraguay,EPARA,twitter,https://www.twitter.com/argenparaguay_
Peru,EPERU,facebook,https://www.facebook.com/ArgentinaEnPeru
Peru,EPERU,instagram,https://www.instagram.com/argenperu_
Peru,EPERU,twitter,https://www.twitter.com/Emb_Arg_Peru
Philippines,EFILI,facebook,https://www.facebook.com/ArgentinaEnFilipinas
Philippines,EFILI,instagram,https://www.instagram.com/argentinaenfilipinas/
Philippines,EFILI,twitter,https://www.twitter.com/ArgentinaEnFili
Poland,EPOLO,facebook,https://www.facebook.com/profile.php?id=61560600343776
Portugal,EPORT,instagram,https://www.instagram.com/embargentinaportugal
Qatar,EQATR,instagram,https://www.instagram.com/embargenqatar
Qatar,EQATR,twitter,https://www.twitter.com/embargenqatar
Romania,ERUMA,facebook,https://www.facebook.com/ArgentinaEnRumania
Russian Federation,EFRUS,facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
Russian Federation,EFRUS,twitter,https://www.twitter.com/EmbArgRusia
Saudi Arabia,EARAB,facebook,https://www.facebook.com/argentinaenarabiasaudita/
Saudi Arabia,EARAB,instagram,https://www.instagram.com/arginsaudi/
Saudi Arabia,EARAB,twitter,https://www.twitter.com/ensaudita
Senegal,ESENE,twitter,https://www.twitter.com/argensenegal
Serbia,ESERB,facebook,https://www.facebook.com/ArgentinaEnSerbia/
Serbia,ESERB,instagram,https://www.instagram.com/arginserbia
Singapore,ESING,instagram,https://www.instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=
Singapore,ESING,twitter,https://www.twitter.com/ARGinSingapore
South Africa,ESAFR,facebook,https://facebook.com/ArgenSudafrica
South Africa,ESAFR,instagram,https://www.instagram.com/argentinaensudafrica
South Africa,ESAFR,twitter,https://www.twitter.com/EmbArgentina
Spain,CBARC,facebook,https://www.facebook.com/ArgEnBarcelona/
Spain,CBARC,instagram,https://www.instagram.com/argenbarcelona/
Spain,CBARC,otra,https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona
Spain,CBARC,twitter,https://www.twitter.com/argenbarcelona
Spain,CBARC,youtube,https://www.youtube.com/@consuladoargentinoenbarcel2664
Spain,CCADI,facebook,https://www.facebook.com/ArgentinaEnCadiz
Spain,CMADR,facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
Spain,CMADR,instagram,https://www.instagram.com/consuladoargentinoenmadrid?igsh=MW1wMHQzbzhqMGwwbw==
Spain,CMALL,facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
Spain,CMALL,instagram,https://www.instagram.com/argentinaenpalmademallorca/
Spain,CTENE,facebook,https://www.facebook.com/argentinaentenerife
Spain,CVIGO,facebook,https://www.facebook.com/ArgentinaenVigo
Spain,CVIGO,instagram,https://www.instagram.com/argenvigo/
Spain,EESPA,facebook,https://www.facebook.com/argenespa/
Spain,EESPA,instagram,https://www.instagram.com/argenespa/
Spain,EESPA,otra,https://www.linkedin.com/company/83543239/admin/dashboard/
Spain,EESPA,twitter,https://www.twitter.com/ARGenesp
Sweden,ESUEC,facebook,https://www.facebook.com/arginsweden/
Sweden,ESUEC,instagram,https://www.instagram.com/arginsweden/
Sweden,ESUEC,otra,https://www.linkedin.com/company/argentinainsweden/
Switzerland,EOIRS,facebook,https://www.facebook.com/ArgentinaEnGinebra
Switzerland,EOIRS,instagram,https://www.instagram.com/mision.argentina/
Switzerland,EOIRS,twitter,https://www.twitter.com/ArgentinaONUOMC
Switzerland,EOIRS,youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
Syrian Arab Republic,EASIR,facebook,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495
Thailand,ETAIL,facebook,https://www.facebook.com/Embajada.Argentina.Tailandia/
Trinidad and Tobago,ETRIN,facebook,https://www.facebook.com/ArgentinaEnTrinidadYTobago
Trinidad and Tobago,ETRIN,twitter,https://www.twitter.com/arg_mrec_tt
Tunisia,ETUNE,facebook,https://www.facebook.com/ArgEnTunez/
Tunisia,ETUNE,instagram,https://www.instagram.com/embargentinatn
Tunisia,ETUNE,twitter,https://www.twitter.com/EmbajadaTunez
Tunisia,ETUNE,youtube,https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg
Turkiye,CGEST,facebook,https://www.facebook.com/ArgentinaEnEstambul
Turkiye,CGEST,instagram,https://www.instagram.com/consuladoargentinoenestambul/
Turkiye,ETURQ,facebook,https://www.facebook.com/Argentinaenturquia/
Turkiye,ETURQ,instagram,https://www.instagram.com/embargenturquia
Turkiye,ETURQ,twitter,https://www.twitter.com/ARGenTurquia
Ukraine,EUCRA,facebook,https://www.facebook.com/ArgentinaEnUcrania
Ukraine,EUCRA,instagram,https://www.instagram.com/argenucrania/
United Arab Emirates,EEARB,facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
United States,CATLA,facebook,https://www.facebook.com/ARGenAtlanta
United States,CATLA,instagram,https://www.instagram.com/ARGenAtlanta
United States,CATLA,otra,https://www.linkedin.com/company/ARGenAtlanta
United States,CATLA,twitter,https://www.twitter.com/ARGenAtlanta
United States,CCHIC,facebook,https://www.facebook.com/ArgentinaEnChicago
United States,CCHIC,instagram,https://www.instagram.com/consulado_argentino_chicago
United States,CCHIC,twitter,https://www.twitter.com/argenchicago
United States,CCHIC,youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
United States,CHOUS,facebook,https://www.facebook.com/ArgentinaEnHouston/
United States,CHOUS,instagram,https://www.instagram.com/consuladoarghouston/
United States,CHOUS,twitter,https://www.twitter.com/ARGENHOUSTON
United States,CLANG,facebook,https://www.facebook.com/ArgentinaEnLosAngeles/
United States,CLANG,instagram,https://www.instagram.com/arg_clang/
United States,CLANG,twitter,https://www.twitter.com/arg_clang
United States,CMIAM,facebook,https://www.facebook.com/consuladoargentino.miami/
United States,CMIAM,instagram,https://www.instagram.com/consuladoargentinomia/
United States,CMIAM,twitter,https://www.twitter.com/argenmiami/
United States,CNYOR,facebook,https://www.facebook.com/ARGenNewYork
United States,CNYOR,instagram,https://www.instagram.com/argennewyork/
United States,CNYOR,otra,https://www.linkedin.com/company/argennewyork
United States,CNYOR,twitter,https://www.twitter.com/ARGenNewYork
United States,CNYOR,youtube,https://www.youtube.com/@ARGenNewYork
United States,EEEUU,facebook,https://www.facebook.com/ARGinUSA/
United States,EEEUU,instagram,https://www.instagram.com/ARGinUSA/
