sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria,Consular  Section,Sección  Consular
ECOLO,Sección  Consular  y  Cooperación  Judicial,Sección  Consular,Seccion
ECORE,"Sección  Consular, Prensa  y  Turismo",Consular  Section,Sección  Consular
EANGO,Sección  Cooperación,Sección  Cooperación,Seccion
ECUBA,Sección  Cooperación,Sección  Cooperación,Seccion
EBARB,Sección  Cooperación  Internacional,International  Cooperation  Section,Seccion
EFRAN,Sección  Cooperación  Internacional,Sección  Cooperación  Internacional,Seccion
EALEM,Sección  Cooperación  Internacional,Section  for  International  Cooperation,Seccion
ESAFR,Sección  Cooperación  Técnica,Technical  Cooperation  Section,Seccion
ECORE,"Sección  Cooperación, Ciencia, Tecnologia  y  Transición  Energética","Sección  Cooperación, Ciencia, Tecnología  y  Transición  Energética",Seccion
EESPA,Sección  Cultura  y  Educación,Education,Seccion
ESSED,"Sección  Cultura, Arte  y  Turismo","Art, Culture  and  Tourism",Seccion
CBARC,"Sección  Cultura, Educación  y  Comunicación  ","Cultural  Promotion, Education  and  Social  Networks",Seccion
EMOZA,Sección  Cultural,Cultural  Section,Seccion
CSCRS,Seccion  Cultural,Jefe  de  Seccion  Cultural,Seccion
EMEXI,Sección  Cultural,Cultural  Department,Seccion
EQATR,Sección  Cultural,Cultural,Seccion
ETAIL,Sección  Cultural,Cultural  Section,Seccion
CRIOJ,Sección  Cultural,Sección  Cultural,Seccion
EALEM,Sección  Cultural,Cultural  Section,Seccion
EETIO,Sección  Cultural,Cultural  Affairs,Seccion
CMILA,Sección  Cultural,Sección  Cultural,Seccion
ENORU,Sección  Cultural,Cultural  Section,Seccion
EECUA,Sección  Cultural,Sección  Cultural,Seccion
EAUST,Seccion  Cultural,Cultural  Section,Seccion
EARGE,Sección  Cultural,Sección  Cultural,Seccion
EISIA,Sección  Cultural,Cultural  Section,Seccion
EKUWA,Sección  Cultural,ekuwa,Seccion
EIRLA,Sección  Cultural,Cultural  Section,Seccion
EVENE,Sección  Cultural,Sección  Cultural,Seccion
EEGIP,Sección  Cultural,Cultural  Section,Seccion
EDINA,Sección  Cultural,Cultural  Section,Seccion
EUNGR,Sección  Cultural,Cultural  Section,Seccion
EHAIT,Sección  Cultural,Todo  el  territorio  de  Haiti,Seccion
EANGO,Sección  Cultural,Sección  Cultural  y  Prensa,Seccion
ECHES,Sección  Cultural,Cultural  Section  ,Seccion
EURUG,Sección  Cultural,Cultural  Section,Seccion
ETURQ,Sección  Cultural,Cultural  Promotion,Seccion
ECUBA,Sección  Cultural,Sección  Cultural,Seccion
EJAMA,Sección  Cultural,Sección  Cultural,Seccion
CVIGO,Sección  Cultural,Sección  Cultural,Sección  Consular
CFRAN,Sección  Cultural,Cultural  section,Seccion
EJAPO,Sección  Cultural  ,Cultural  affairs  ,Seccion
EHOND,Sección  Cultural,Sección  Cultural,Seccion
ERUNI,Sección  Cultural,Cultural  section,Seccion
EGUAT,Sección  Cultural,Sección  cultural,Seccion
ELBNO,Sección  Cultural,Sección  Prensa,Seccion
ESING,Sección  Cultural,Cultural  Section,Seccion
EBRAS,Sección  Cultural,Sección  Cultural,Seccion
EPOLO,Sección  Cultural,Sección  Cultural,Seccion
ESUEC,Sección  Cultural  ,Cultural  Department,Seccion
ECHIN,Sección  Cultural  ,"Sección  Cultura, Educación  y  Prensa",Seccion
EHILE,Sección  Cultural,Cultural  Section,Seccion
CSHAN,Sección  Cultural  ,Sección  Cultural,Seccion
EGREC,Sección  Cultural,Cultural  Affairs  Section,Seccion
EBELG,Sección  Cultural,Cultural  Section,Seccion
ESURI,Sección  Cultural,,Seccion
EFRAN,Sección  Cultural,Sección  Cultural,Seccion
ESUIZ,Sección  Cultural,Cultural  Section,Seccion
EPBAJ,Sección  Cultural,Cultural  Section,Seccion
EUCRA,Sección  Cultural,Sección  Cultural,Seccion
EIRAN,Sección  Cultural,Sección  Cultural,Seccion
CSIDN,Sección  Cultural,Sección  Cultural,Seccion
ECANA,Sección  Cultural  y  Cooperación  Internacional,Cultural  and  International  Cooperation  Affairs,Seccion
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública,Jefe  de  Sección  Cultural  y  de  Diplomacia  Pública,Seccion
ECORE,Sección  Cultural  y  Educación  ,Cultural  Section,Seccion
ECOLO,Sección  Cultural  y  Educativa,Sección  Cultural,Seccion
EAZER,Sección  Cultural  y  Educativa,Sección  Cultural,Seccion
EBARB,Sección  Cultural  y  Prensa,Cultural  and  Press  Section,Seccion
ESERB,"Sección  Cultural, Educación  y  Turismo","Cultural, Education  and  Tourism  Section",Seccion
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  ","Cultural, Education, Science  and  Technology  Section",Seccion
EPERU,"Sección  Cultural, Educación, Cooperación  Internacional  y  Prensa","Culture, Education  and  Press  ",Seccion
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública","Cultural, Press  and  Public  Diplomacy  Section",Seccion
EBOLV,"Sección  Cultural, Prensa, Educación, Visas , Culto  y  Malvinas","Sección  de  Asuntos  Culturales  y  Educación, Género  y  Trata  de  Personas.",Seccion
CGMUM,Sección  de  Administración,Administration  Section,Seccion
EAZER,Sección  de  Administración,Sección  de  Administración,Seccion
ETRIA,Sección  de  Administración  y  Recursos  Humanos,Administrative  Section,Seccion
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria,International  Cooperation  and  Humanitarian  Aid  Section,Seccion
EITAL,Sección  de  Cooperación  Internacional  y  Jurídica,International  and  Legal  Cooperation  Section,Seccion
EPERU,Sección  de  Cooperación  Judicial,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género,Seccion
ETRIA,Sección  de  Cooperación  Jurídica,Section  of  Legal  Cooperation  ,Seccion
EFRUS,Sección  de  Cultura  y  Educación,"Culture, Sport, Tourism  and  Sport  Cooperation  Section",Seccion
EALEM,Sección  de  Prensa,Press  Section,Seccion
EHAIT,Sección  de  Prensa,Todo  el  territorio  de  Haiti,Seccion
EMEXI,Sección  de  Prensa,Press  Department,Seccion
EHOND,Sección  de  Prensa,Sección  de  Prensa,Seccion
EMOZA,Sección  de  Prensa  y  Difusión,Press  and  Broadcasting,Seccion
EFRUS,Sección  de  Prensa  y  Difusión,Press  and  Media  Services  Section,Seccion
CSHAN,Sección  Deportiva,Sección  Deportiva,Seccion
EURUG,Sección  Económica,Sección  Económica,Seccion
EPAKI,Sección  Económica,Camilo  Silberkasten,Seccion
EQATR,Sección  Económica  -  Comercial,Commercial  Section,Seccion
EJAPO,Sección  Económica  -  Comercial  (Promoción  Comercial  -  Comercio  Bilateral),Economic  -  Trade  ,Seccion
CMILA,Sección  Economica  -  Comercial  e  Inversiones,"Sección  Economica, Comercial  e  Inversiones",Seccion
ELBNO,Sección  Económica  -  Comercial  e  Inversiones,Sección  Económica  y  Comercial,Seccion
EIRLA,Sección  Económica  y    Comercial,Commercial  and  Economic  Section,Seccion
